Rank,Player,ATT,YDS,Y/ATT,LG,20+,TD,REC,TGT,YDS,Y/REC,TD,FL,G,FPTS,FPTS/G,RUSHYRDS/G,PASSYDS/G,ATT/G,TGT/G,RUSHTD/G,PASSTD/G,TOTTD/G
4,Austin Ekeler (LAC),132,557,4,35,4,3,92,108,993,10.8,8,2,16,309,19.3125,34.8125,62.0625,8.25,6.75,0.1875,0.5,0.6875
5,Derrick Henry (TEN),303,"1,540",5,74,9,16,18,24,206,11.4,2,3,15,294.6,19.64,102.6666667,13.73333333,20.2,1.6,1.066666667,0.1333333333,1.2
6,Dalvin Cook (MIN),250,"1,135",5,75,7,13,53,63,519,9.8,0,2,14,292.4,20.88571429,81.07142857,37.07142857,17.85714286,4.5,0.9285714286,0,0.9285714286
7,Leonard Fournette (TB),265,"1,152",4,81,7,3,76,100,522,6.9,0,1,15,259.4,17.29333333,76.8,34.8,17.66666667,6.666666667,0.2,0,0.2
8,Nick Chubb (CLE),298,"1,494",5,88,11,8,36,49,278,7.7,0,3,16,255.2,15.95,93.375,17.375,18.625,3.0625,0.5,0,0.5
9,Alvin Kamara (NO),171,797,5,40,5,5,81,97,533,6.6,1,1,14,248.5,17.75,56.92857143,38.07142857,12.21428571,6.928571429,0.3571428571,0.07142857143,0.4285714286
10,Saquon Barkley (NYG),217,"1,003",5,68,8,6,52,73,438,8.4,2,0,13,244.1,18.77692308,77.15384615,33.69230769,16.69230769,5.615384615,0.4615384615,0.1538461538,0.6153846154
11,Mark Ingram II (HOU),202,"1,018",5,53,6,10,26,29,247,9.5,5,2,15,242.5,16.16666667,67.86666667,16.46666667,13.46666667,1.933333333,0.6666666667,0.3333333333,1
12,Chris Carson (SEA),278,"1,230",4,59,8,7,37,47,266,7.2,2,4,15,232.6,15.50666667,82,17.73333333,18.53333333,3.133333333,0.4666666667,0.1333333333,0.6
13,Joe Mixon (CIN),278,"1,137",4,41,6,5,35,45,287,8.2,3,0,16,225.4,14.0875,71.0625,17.9375,17.375,2.8125,0.3125,0.1875,0.5
14,Todd Gurley II (FA),223,857,4,25,5,12,31,49,207,6.7,2,2,15,219.4,14.62666667,57.13333333,13.8,14.86666667,3.266666667,0.8,0.1333333333,0.9333333333
15,Miles Sanders (PHI),179,818,5,65,5,3,50,63,509,10.2,3,1,16,218.7,13.66875,51.125,31.8125,11.1875,3.9375,0.1875,0.1875,0.375
16,Le'Veon Bell (BAL),245,789,3.2,19,0,3,66,78,461,7,1,1,15,215,14.33333333,52.6,30.73333333,16.33333333,5.2,0.2,0.06666666667,0.2666666667
